Type;Source;Address;Resolution
Climatic monthly data;CRU – Climate Research Unit , University of East Anglia;https://crudata.uea.ac.uk/cru/data/hrg/cru_ts_4.03/cruts.1905011326.v4.03/;50 km x 50 km
;;;
SOC stocks 0-30 cm;GSOCmap - FAO-ITPS;http://54.229.242.119/GSOCmap/;1 x 1 km
;;;
Soil Texture ;Harmonized World Soil Database v1.2;http://www.fao.org/soils-portal/;1 km (30 arc seconds by 30 arc seconds)
Soil Texture;OpenGeoHub Foundation - OpenLandMap;https://doi.org/10.5281/zenodo.1476854;250m
Soil texture, including uncertainties;;http://soilgrids.isric.org;250 m
;;;
;Soil Grids -ISRIC;;
;;;
;;;
NDVI-  Historic images  (2001-2020) every 16 days;MODIS - MOD13A2 datasets;https://lpdaac.usgs.gov/products/mod13a2v006/;1 x 1km 
;;;
Land Cover ;MODIS;https://modis.gsfc.nasa.gov/data/dataprod/mod12.php;500 x 500m
;Land Cover Dynamics MCD12Q2;;1 x 1 km
Land Cover ;European Space Agency (ESA) Climate Change Initiative (CCI)- Copernicus Climate Change Service (C3S);https://www.esa-landcover-cci.org/;300 x 300m
Land Cover – Land Use;FAO. Global Land Cover SHARE;http://www.fao.org/land-water/land/land-governance/land-resources-planning-toolbox/category/details/en/c/1036355/;~1 x 1km
Land Cover ;USGS Global Land Survey;https://lta.cr.usgs.gov/GLS;30 x 30m
Land Cover ;CORINE land cover (Europe only);https://land.copernicus.eu/pan-european/corine-land-cover;100 x 100 m
