Type of Layer;Script;Objective
SOC layer;R- Script number 0;Cut the SOC layer by the area of interest polygon
Climate layers;" R- Script number 1
 R- Script number 2
 R- Script number 3";Rearrangement of climate layers (CRU layers from .ncd to .tif)
NPP layers;R- Script number 5;Creation of NPP layers 
Vegetation Cover (VC);" GEE Script number (Google Earth Engine) 
R- Script number 7";Creation of VC  layers
Clay layers;R-Script number 8;Obtaining clay contents 0-30 cm from different depths (ISRIC) 
Land Use layer;R-Script number 9 ;Re-classification into FAO land cover classes
STACK for SPIN UP;R-Script number 10;Stack input data layers  for the spin up phase
STACK for WARM UP;R-Script number 11;Stack input data layers  for the warm up phase
STACK for FORWARD;R-Script number 12;Stack input data layers  for the forward phase
Target points;QGis model script;Creation of target points
SPIN UP;R- Script number 13;Run long spin up phase
WARM UP ;R- Script number 14;Run warm up phase
FORWARD;R- Script number 15;Run forward phase
POINTS TO RASTER;R- Script number 16;Rasterize points 
